0,1,2,3,4,5,6,7,8,9
257,257,256,247,256,257,257,256,255,0
228,228,228,226,228,227,215,227,223,0
271,225,259,270,271,259,270,233,271,0
261,259,260,227,261,259,259,260,260,0
237,237,237,232,208,236,235,236,237,0
327,289,224,302,325,213,326,235,276,0
318,308,224,318,318,317,218,318,307,0
384,273,336,340,286,299,360,201,263,0
332,234,330,330,269,248,274,332,330,0
307,305,305,307,305,274,223,257,209,0
213,211,211,212,212,212,212,213,211,0
355,355,327,201,354,235,354,252,279,0
268,254,267,259,268,268,267,255,268,0
265,264,209,265,264,264,263,263,226,0
397,228,204,363,323,295,392,334,253,0
356,355,275,265,241,354,225,304,256,0
364,321,363,342,280,262,326,210,202,0
286,284,260,285,282,284,284,238,286,0
343,342,342,232,342,308,343,253,341,0
361,203,355,234,361,295,338,360,265,0
342,271,286,305,286,341,271,213,294,0
224,223,223,222,222,224,223,224,223,0
336,336,244,336,263,334,202,264,248,0
223,222,221,222,222,223,222,217,221,0
